id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
1,78,64.0,2106787,1979,жен.,ср. общ.,17090.0,0,99.938,0,низкий,0,0,0.0087,-2.91,21000.0,0.402,1,0
2,35,71.2,448607,1961,жен.,ср. специальное,74973.0,0,97.675,0,средний,1,1,0.0095,1.01,98000.0,0.621,2,0
3,49,65.4,1760563,1956,муж.,среднее,17674.0,0,122.373,0,высокий,0,0,0.0088,1.07,47000.0,0.875,1,0
4,86,51.1,201613,1988,жен.,начальное,20090.0,0,111.769,0,средний,1,1,0.0069,2.22,110000.0,0.178,1,0
5,93,42.7,915687,1992,жен.,среднее,50162.0,1,107.69,0,низкий,0,1,0.0093,-2.6,231000.0,0.815,5,0
6,60,77.8,301984,1977,жен.,высшее,43842.0,1,97.145,0,средний,1,1,0.0081,-0.72,215000.0,0.451,3,1
7,92,97.4,492752,2002,муж.,высшее,34487.0,1,114.729,0,средний,1,0,0.0071,-3.04,161000.0,0.467,3,0
8,62,66.9,926157,1956,жен.,неоконч. высшее,25661.0,1,97.432,0,средний,1,1,0.008,2.2,34000.0,0.211,1,0
9,82,112.3,1106151,2002,жен.,неоконч. высшее,11038.0,0,86.908,0,низкий,0,1,0.0071,-0.48,16000.0,0.699,3,0
10,90,87.1,432526,1951,муж.,уч. степень,15000.0,1,100.313,0,низкий,1,0,0.0096,2.32,158000.0,0.288,1,0
11,13,100.4,2214375,1962,жен.,среднее,47880.0,0,105.411,0,средний,1,1,0.0085,0.1,162000.0,0.564,1,0
12,28,82.5,1059173,1992,муж.,ср. общ.,25274.0,0,109.782,0,средний,1,1,0.0095,-0.7,25000.0,0.915,3,0
13,53,33.7,1829104,1960,муж.,высшее,44110.0,0,104.45,0,высокий,1,0,0.0072,-1.29,95000.0,0.446,4,0
14,62,99.5,1188860,1956,муж.,высшее,50219.0,1,99.039,0,высокий,1,1,0.0087,1.94,29000.0,0.528,5,0
15,39,74.4,797439,1948,жен.,среднее,63905.0,1,119.679,0,средний,0,0,0.0082,-0.7,46000.0,0.793,1,0
16,28,64.1,484939,1969,муж.,среднее,23063.0,1,97.46,0,средний,1,1,0.0076,-1.26,68000.0,0.852,1,0
17,67,28.0,508695,1981,муж.,неоконч. высшее,63655.0,0,93.102,0,средний,0,0,0.0074,-2.94,45000.0,0.199,2,0
18,85,61.9,1863840,1986,жен.,ср. специальное,58205.0,0,93.533,0,средний,1,1,0.0072,-1.28,97000.0,0.226,1,0
19,65,82.5,1453282,1963,жен.,среднее,63641.0,0,117.708,0,средний,0,0,0.0085,-2.13,66000.0,0.376,3,0
20,60,35.2,1019306,1971,муж.,ср. специальное,43792.0,1,105.09,0,высокий,1,0,0.0094,-0.01,17000.0,0.151,3,0
21,35,48.7,183648,1982,жен.,среднее,19252.0,1,109.653,0,средний,1,1,0.0074,-0.03,39000.0,0.353,4,0
